id,objectId,Make,Year,Model,Category1,Category2,Category3
351,NZAmEdfLhw,Audi,2010,S6,Sedan,,
352,0XDsX2cvkj,Audi,2010,S5,Coupe, Convertible,
353,IUNgGk6oMA,Audi,2010,Q7,SUV,,
354,iH4Y9A6gis,Audi,2010,A4,Sedan, Wagon,
355,FztNZFB1D3,Audi,2010,TT,Coupe, Convertible,
356,SgK3HLqy05,Audi,2010,A8,Sedan,,
357,8hrQW6LUoI,Audi,2010,A5,Coupe, Convertible,
358,JYXXpHOgG8,Audi,2010,Q5,SUV,,
359,cB66uFN6Hv,Audi,2010,A6,Sedan, Wagon,
360,ppQ2vMzObM,Audi,2010,R8,Coupe,,
361,BzF3k5SNWs,Audi,2011,A5,Coupe, Convertible,
362,pQeEkad3el,Audi,2011,A4,Sedan, Wagon,
363,vN52e1DtNG,Audi,2011,A6,Sedan, Wagon,
364,PDtoCcGUWV,Audi,2011,A3,Wagon,,
365,jswZ1n0iRP,Audi,2011,Q5,SUV,,
366,N27NQgNEpG,Audi,2011,R8,Coupe, Convertible,
367,wenrys87y6,Audi,2011,A8,Sedan,,
368,DDLhXPSGfN,Audi,2011,Q7,SUV,,
369,XzLXNzITLF,Audi,2011,S6,Sedan,,
370,3LrdtjHJ9o,Audi,2011,TT,Coupe, Convertible,
371,XHMNiUXzht,Audi,2011,S4,Sedan,,
372,maOUEIig5b,Audi,2011,S5,Coupe, Convertible,
373,DUVKeWo5Jr,Audi,2012,Q5,SUV,,
374,3ywcPHOBlw,Audi,2012,R8,Coupe, Convertible,
375,qM3e8IGHTt,Audi,2012,A4,Sedan, Wagon,
376,f4ogfIlyXZ,Audi,2012,A8,Sedan,,
377,UKVUe9AHcZ,Audi,2012,A5,Convertible, Coupe,
378,EIIoYFiXDO,Audi,2012,A7,Sedan,,
379,7LhTrm5NDf,Audi,2012,A3,Wagon,,
380,fveslj9USB,Audi,2012,Q7,SUV,,
381,ABTc7OM2Yw,Audi,2012,A6,Sedan,,
382,tH4zxKBXt3,Audi,2012,S5,Coupe, Convertible,
383,xt3vOyN6cV,Audi,2012,TT,Coupe, Convertible,
384,bNGfHPyDSG,Audi,2012,S4,Sedan,,
385,JXfzXMhCT8,Audi,2013,A6,Sedan,,
386,QcDO6ECFwA,Audi,2013,A7,Sedan,,
387,eY5ebdzmFG,Audi,2013,A4,Sedan,,
388,sVCQITCohS,Audi,2013,A5,Convertible, Coupe,
389,3dCwSo7bEj,Audi,2013,A3,Wagon,,
390,1Wgu5bwBWo,Audi,2013,allroad,Wagon,,
391,QzQBBjZLHo,Audi,2013,S5,Coupe, Convertible,
392,o0HhPBgEi2,Audi,2013,TT,Convertible, Coupe,
393,duAmfwLBqd,Audi,2013,A8,Sedan,,
394,n8W2GD1s13,Audi,2013,S7,Sedan,,
395,FeLKrFGlXS,Audi,2013,Q5,SUV,,
396,EeumLAMuO6,Audi,2013,Q7,SUV,,
397,xtJxayIToC,Audi,2013,S6,Sedan,,
398,9PAnXAYccZ,Audi,2013,RS 5,Coupe, Convertible,
399,3AfUUtephT,Audi,2013,S4,Sedan,,
400,9Vxfj7hsgl,Audi,2013,S8,Sedan,,
401,llYQNdVbig,Audi,2014,A5,Coupe, Convertible,
402,ECuKTMGVk2,Audi,2014,S4,Sedan,,
403,LolEDApqjH,Audi,2014,A4,Sedan,,
404,GArZ9MQOtt,Audi,2014,S6,Sedan,,
405,IEeCbA87s6,Audi,2014,A8,Sedan,,
406,nKU0MlmWea,Audi,2014,SQ5,SUV,,
407,p6oiEXXbNE,Audi,2014,RS 5,Convertible, Coupe,
408,DGNWdHPc2s,Audi,2014,Q7,SUV,,
409,4Ao8Qb4FDo,Audi,2014,RS 7,Sedan,,
410,CwVmPIJaZs,Audi,2014,S7,Sedan,,
411,qYE42PcZxE,Audi,2014,A6,Sedan,,
412,HIkFMnEYDl,Audi,2014,Q5,SUV,,
413,A5bQoHsRsW,Audi,2014,S5,Convertible, Coupe,
414,mea0JbZnt5,Audi,2014,TT,Coupe, Convertible,
415,r7SEFJSS9g,Audi,2014,R8,Coupe, Convertible,
416,TbYRBwQQSV,Audi,2014,S8,Sedan,,
417,BBxg2JRV8C,Audi,2014,allroad,Wagon,,
418,BjkBpiEHSc,Audi,2014,A7,Sedan,,
419,wwtllfgyLJ,Audi,2015,A6,Sedan,,
420,HXeof2UHZE,Audi,2015,A4,Sedan,,
421,y8hyktA1Gt,Audi,2015,allroad,Wagon,,
422,CsAiMDj7Ds,Audi,2015,A3,Sedan, Convertible,
423,QDc32cXBzu,Audi,2015,A8,Sedan,,
424,LlBRj9DVxs,Audi,2015,Q5,SUV,,
425,k6QO6pWHjc,Audi,2015,RS 5,Coupe, Convertible,
